blomen_essential,gene
FALSE,Igf1r
FALSE,Adamts17
FALSE,Abhd2
FALSE,Ntrk3
FALSE,Fto
TRUE,Uqcrc2
FALSE,Zfhx3
FALSE,Irf8
FALSE,Ndufb10
TRUE,Vps53
TRUE,Cltc
FALSE,Bcas3
TRUE,Afg3l2
FALSE,Gnal
FALSE,Asxl3
FALSE,Gata6
FALSE,Greb1l
FALSE,Trp53
TRUE,Tbcd
TRUE,Rptor
FALSE,Foxk2
FALSE,Dym
FALSE,Tnfrsf11a
FALSE,Cacna1a
TRUE,Brd4
FALSE,Nfic
FALSE,Ifnar1
FALSE,App
FALSE,Cacng8
FALSE,Prdm16
FALSE,Epha2
FALSE,Pex14
FALSE,Celsr2
FALSE,Nme7
FALSE,Rxrg
FALSE,Tbx19
FALSE,Tmco1
FALSE,Pou2f1
FALSE,Ufc1
FALSE,Fcgr2b
FALSE,Nr1i3
FALSE,Hdgf
FALSE,Xpr1
FALSE,Rorc
FALSE,Setdb1
FALSE,Pi4kb
FALSE,Arnt
FALSE,Pogz
FALSE,Syt14
FALSE,Kcnh1
FALSE,Tpm3
FALSE,Kcnn3
FALSE,Gatad2b
FALSE,Acp1
TRUE,Guk1
FALSE,Syt2
FALSE,Camkmt
TRUE,Calm2
FALSE,Vps54
FALSE,Meis1
FALSE,Exoc6b
FALSE,Scn1a
TRUE,Hspd1
FALSE,Itga9
FALSE,Iqsec1
FALSE,Il17rd
TRUE,Slc25a26
FALSE,Nr1i2
FALSE,Agtr1a
FALSE,Manf
FALSE,Slit2
FALSE,Epha5
FALSE,Snca
FALSE,Tbck
FALSE,Cisd2
FALSE,Ank2
FALSE,Glra3
FALSE,Osmr
FALSE,Pik3r1
FALSE,Ppip5k2
TRUE,Bdp1
FALSE,Gabrb2
FALSE,Fbxo38
FALSE,Glra1
FALSE,Cplx2
TRUE,Fars2
TRUE,Rars2
FALSE,Arhgap18
FALSE,Taar1
FALSE,Purb
FALSE,Mdh2
FALSE,Gigyf1
TRUE,Tlk2
FALSE,Sh3kbp1
FALSE,Cask
TRUE,Kdm6a
FALSE,Hdac8
FALSE,Zfp182
TRUE,Ndufb11
TRUE,Taf1
TRUE,Ogt
FALSE,Il2rg
TRUE,Diaph2
FALSE,Htr2c
FALSE,Igsf1
TRUE,Mcph1
TRUE,Atp6v1b2
FALSE,Chrnb3
FALSE,Chrna6
FALSE,Ndufb9
FALSE,Vldlr
FALSE,Nfib
FALSE,Cdkn2a
FALSE,Sigmar1
FALSE,Ntrk2
FALSE,Auh
FALSE,Zfp462
FALSE,Nr6a1
FALSE,Notch1
TRUE,Pdss1
FALSE,Zeb1
FALSE,Camk2g
FALSE,Glud1
FALSE,Htr7
FALSE,Add3
FALSE,Tcf7l2
FALSE,Nkx6-2
FALSE,Cnnm2
FALSE,Tenm4
FALSE,Pak1
FALSE,Drd2
FALSE,Htr3b
FALSE,Grik4
FALSE,B3gat3
FALSE,Cnksr2
TRUE,Itgb1
FALSE,Pcdh15
FALSE,Adra2a
FALSE,Dlat
FALSE,Itpr1
FALSE,Gpr158
FALSE,Cacna1c
FALSE,Thrb
FALSE,Ank3
TRUE,Eif4e
FALSE,Akap6
FALSE,Npas3
FALSE,Ext2
TRUE,Ndufc2
FALSE,Sclt1
FALSE,Ptpro
FALSE,Ncapd3
FALSE,Drd3
FALSE,Mmaa
FALSE,Ednra
FALSE,Nr3c2
FALSE,Slc25a4
FALSE,Gabra2
FALSE,Gfra1
FALSE,Dst
FALSE,Tmem163
FALSE,Grid2
FALSE,Setbp1
FALSE,Ccdc50
FALSE,Camk4
FALSE,Pfkm
FALSE,Gria4
FALSE,Sar1b
FALSE,Jakmip1
FALSE,Zic1
TRUE,Hnrnpu
TRUE,Ranbp2
TRUE,Mertk
FALSE,Nr4a2
FALSE,Scn3a
FALSE,Slc25a27
FALSE,Ubp1
FALSE,Trip12
FALSE,Dgke
FALSE,Cacna2d1
FALSE,Ank
FALSE,Robo4
FALSE,Prkca
FALSE,Cep112
FALSE,Uchl1
FALSE,Tnik
FALSE,Pde1c
FALSE,Ephb1
FALSE,Ptprn2
FALSE,Gria1
FALSE,Fmn2
FALSE,Ppargc1b
FALSE,Rasa2
TRUE,Rmnd1
FALSE,Aff2
FALSE,Grip1
FALSE,Vps37a
FALSE,Kif5a
FALSE,Adk
FALSE,Kcnma1
FALSE,Alx3
FALSE,Tspan7
FALSE,Tiam1
FALSE,Rpgr
TRUE,Uqcrb
FALSE,Ppp2r2b
FALSE,Hk1
FALSE,Phf6
FALSE,Lrfn2
FALSE,Kat6b
FALSE,Unc5d
TRUE,Aifm1
TRUE,Nsmce2
FALSE,Zic3
TRUE,Eif4a2
FALSE,Atp2b2
